mode freq_THz freq_cm-1 activity_E0.05 activity_E0.1
76 2.2230729532e+01 7.4153731819e+02 5.1692636752e-05 9.0933263249e-06
77 2.2610002040e+01 7.5418848727e+02 3.3046408097e-01 3.3503054266e-01
78 2.2610506912e+01 7.5420532802e+02 2.3737121622e-01 2.3740535903e-01
79 2.2610788115e+01 7.5421470794e+02 7.7686123170e-01 7.8891423530e-01
80 2.2611326374e+01 7.5423266230e+02 5.3132898035e-01 5.4114616364e-01
81 2.2781526681e+01 7.5990993344e+02 1.3875553457e+00 1.4726048090e+00
82 2.2782222202e+01 7.5993313354e+02 2.2474982255e-01 2.3951630989e-01
83 2.2782691781e+01 7.5994879703e+02 9.4346877200e-01 1.0270984129e+00
84 2.3102984442e+01 7.7063261018e+02 2.5001561884e+01 2.4986403137e+01
85 2.3106368074e+01 7.7074547598e+02 3.1072522527e+01 3.1085948797e+01
86 2.3108769212e+01 7.7082556934e+02 2.9608042009e+01 2.9609442905e+01
87 2.3113271429e+01 7.7097574714e+02 4.3963476454e+01 4.2589160459e+01
88 2.3116682403e+01 7.7108952496e+02 4.2523708292e+01 4.2519772286e+01
89 2.3238782256e+01 7.7516233767e+02 7.8509426831e-05 5.6739244967e-05
90 2.3239837140e+01 7.7519752480e+02 1.5024812782e-04 1.0110322312e-04
91 2.3240312776e+01 7.7521339033e+02 6.0023422859e-05 5.1648310545e-05
92 2.3241193815e+01 7.7524277861e+02 8.4545771126e-05 5.6221869956e-05
93 2.3570954688e+01 7.8624241735e+02 1.0339050298e-01 1.0401799713e-01
94 2.3571228978e+01 7.8625156669e+02 9.4959763007e-02 1.0009819773e-01
95 2.3572466583e+01 7.8629284874e+02 1.4586777850e-01 1.5775966345e-01
96 2.4589451573e+01 8.2021581653e+02 2.4000688050e-02 2.3660743984e-02
97 2.4591185710e+01 8.2027366111e+02 1.7352662972e-02 1.7563667177e-02
98 2.4593206172e+01 8.2034105648e+02 6.6828042534e-02 6.8429327229e-02
99 2.8286712238e+01 9.4354315737e+02 5.3355945196e-06 2.2056211146e-06
100 2.8757188471e+01 9.5923655527e+02 2.3298028499e-04 4.4717174973e-05
101 2.8759480295e+01 9.5931300231e+02 2.4586721405e-04 2.8199309894e-05
102 2.8762887758e+01 9.5942666304e+02 1.1976545324e-05 1.7654298368e-05
103 2.8764580914e+01 9.5948314064e+02 1.3445803232e-05 2.9996377488e-06
104 2.8958358697e+01 9.6594687172e+02 9.6998622269e-04 1.3383793758e-04
105 2.8959888952e+01 9.6599791554e+02 9.7362900417e-05 9.5217795514e-06
106 2.8966015890e+01 9.6620228817e+02 2.6014404604e-04 3.3877386980e-05
107 3.2429830133e+01 1.0817426946e+03 7.1804848007e+00 7.6691852045e+00
108 3.2432450019e+01 1.0818300846e+03 1.1470899900e+00 1.1367209820e+00
